"observation_date","PIRBPERCAPITA"
2024-10-01,49285.3369118884
2024-07-01,48705.4465378068
2024-04-01,48607.2060523664
2024-01-01,48261.5823589624
2023-10-01,49071.3293957794
2023-07-01,48700.256045911
2023-04-01,48315.567553846
2023-01-01,48790.718045616
2022-10-01,48353.0692656326
2022-07-01,48404.8945721224
2022-04-01,49091.6589274258
2022-01-01,49443.7490656796
2021-10-01,50389.160669987
2021-07-01,49538.8492527027
2021-04-01,50024.2379178282
2021-01-01,49409.0551985153
2020-10-01,42017.9750059158
2020-07-01,41438.7287227379
2020-04-01,42054.7146091287
2020-01-01,41909.7118604372
2019-10-01,43168.6301626063
2019-07-01,42333.7532983978
2019-04-01,43205.2179811925
2019-01-01,42391.3223952275
2018-10-01,43123.609747871
2018-07-01,42946.7379239856
2018-04-01,42684.1090244054
2018-01-01,43311.6851343384
2017-10-01,42858.1544601912
2017-07-01,43102.881091595
2017-04-01,43485.9972011764
2017-01-01,43205.8465210893
2016-10-01,40186.2290138633
2016-07-01,40087.0584116675
2016-04-01,39987.6262342738
2016-01-01,39575.6067581594
2015-10-01,38881.5601598207
2015-07-01,38930.3009698352
2015-04-01,39200.2359573807
2015-01-01,38413.1136093697
2014-10-01,45178.9276433604
2014-07-01,45047.8757295837
2014-04-01,44496.3841435476
2014-01-01,44420.0128057093
2013-10-01,43259.5679677619
2013-07-01,42416.9444584807
2013-04-01,43225.412656445
2013-01-01,42634.4294079587
2012-10-01,39756.8591006252
2012-07-01,40032.121351358
2012-04-01,39659.7771263009
2012-01-01,39657.9428536009
2011-10-01,38187.6264586374
2011-07-01,38275.0809458096
2011-04-01,38870.1831835136
2011-01-01,38319.4482921984
2010-10-01,33777.1239288811
2010-07-01,33864.5699520405
2010-04-01,34230.2044626464
2010-01-01,33497.2677838101
2009-10-01,28338.5387958098
2009-07-01,27981.8105626487
2009-04-01,28411.8009068875
2009-01-01,28197.6914659284
2008-10-01,31293.2891659681
2008-07-01,31735.7022992896
2008-04-01,31437.5025742842
2008-01-01,31781.1170278574
2007-10-01,32306.0346337923
2007-07-01,32259.929817861
2007-04-01,32871.5679231058
2007-01-01,32882.5921162982
2006-10-01,26706.2421548096
2006-07-01,26466.7044931395
2006-04-01,26639.631819198
2006-01-01,26730.0335856532
2005-10-01,27555.4352834525
2005-07-01,27924.4738219507
2005-04-01,27594.922573246
2005-01-01,28033.9329954519
2004-10-01,25482.5780850874
2004-07-01,25705.9702778087
2004-04-01,25442.9877872137
2004-01-01,25322.8027273998
2003-10-01,21991.2944490078
2003-07-01,22024.340393115
2003-04-01,22075.8047506111
2003-01-01,22152.7719000902
2002-10-01,16714.1333720383
2002-07-01,16939.983182012
2002-04-01,16755.5720884815
2002-01-01,16830.0173412029
2001-10-01,13766.7001873496
2001-07-01,13982.9526523366
2001-04-01,13896.887374565
2001-01-01,13822.6518943933
2000-10-01,13589.8315247708
2000-07-01,13702.4816071115
2000-04-01,13581.3156361197
2000-01-01,13642.0437757416
1999-10-01,15192.5935311136
1999-07-01,15296.835522953
1999-04-01,15192.0888603081
1999-01-01,15355.2901035009
1998-10-01,14689.8062395344
1998-07-01,14566.4905612755
1998-04-01,14626.33713942
1998-01-01,14688.8841705142
1997-10-01,17472.8907598013
1997-07-01,17656.3308774553
1997-04-01,17595.8782496522
1997-01-01,17340.888869505
1996-10-01,18555.7605148516
1996-07-01,18647.3319635077
1996-04-01,18642.8561586282
1996-01-01,18987.6781672724
1995-10-01,17235.3856511005
1995-07-01,17144.8778463646
1995-04-01,17353.1649689632
1995-01-01,17302.1263607037
1994-10-01,15252.5476321606
1994-07-01,15500.2676536365
1994-04-01,15411.5469339227
1994-01-01,15427.8314268938
1993-10-01,13157.1348465525
1993-07-01,13102.6482051048
1993-04-01,13187.4767842328
1993-01-01,13162.3047467006
1992-10-01,11931.6122012779
1992-07-01,11835.3314910443
1992-04-01,11860.3626477721
1992-01-01,11666.4479906817
1991-10-01,12080.0265972465
1991-07-01,12103.1995170392
1991-04-01,12407.7345476846
1991-01-01,12182.1886321581
1990-10-01,13548.1569910633
1990-07-01,13584.2078489805
1990-04-01,13589.1677743141
1990-01-01,13723.6417725878
1989-10-01,13274.2497073454
1989-07-01,13346.5252065481
1989-04-01,13493.7367155754
1989-01-01,13332.0684761619
1988-10-01,13611.5037758983
1988-07-01,13850.212183315
1988-04-01,13943.9659690184
1988-01-01,13577.8322089644
1987-10-01,12257.3859334663
1987-07-01,12491.9462006626
1987-04-01,12200.3674500957
1987-01-01,12297.8785224167
1986-10-01,9458.30708768453
1986-07-01,9544.7680912151
1986-04-01,9537.95537359398
1986-01-01,9422.71828316522
1985-10-01,7704.19298102651
1985-07-01,7597.96882031384
1985-04-01,7562.44617406829
1985-01-01,7623.36441997953
1984-10-01,6716.07747798071
1984-07-01,6707.06900465481
1984-04-01,6631.9049577836
1984-01-01,6770.61781780344
1983-10-01,7527.12142890152
1983-07-01,7557.36623412754
1983-04-01,7634.04495387714
1983-01-01,7562.64171856959
1982-10-01,7691.64236759908
1982-07-01,7571.64864812766
1982-04-01,7581.83718746492
1982-01-01,7745.2454619469
1981-10-01,7906.02525956186
1981-07-01,7927.56952250965
1981-04-01,7798.62531947484
1981-01-01,7720.7924130827
1980-10-01,7531.72823935227
1980-07-01,7448.71967770042
1980-04-01,7504.81501707274
1980-01-01,7409.73494337388
1979-10-01,6590.34857883971
1979-07-01,6638.49170347094
1979-04-01,6690.69784684556
1979-01-01,6644.09666646919
1978-10-01,5887.13575876069
1978-07-01,5932.58890629166
1978-04-01,5848.04175955949
1978-01-01,5974.42075492861
1977-10-01,4969.77982368283
1977-07-01,4988.38225695699
1977-04-01,4941.65214925857
1977-01-01,4994.30323408642
1976-10-01,4414.83125923394
1976-07-01,4414.52616329299
1976-04-01,4367.08555781004
1976-01-01,4415.1265629614
1975-10-01,4143.53315514442
1975-07-01,4157.24818105723
1975-04-01,4121.06279555964
1975-01-01,4192.43441685004
1974-10-01,4593.20647995299
1974-07-01,4665.21195983938
1974-04-01,4645.60723877754
1974-01-01,4559.05167959606
1973-10-01,4285.13486020394
1973-07-01,4331.1012379518
1973-04-01,4274.15842031655
1973-01-01,4361.96586029016
1972-10-01,3288.93602875083
1972-07-01,3249.75913668747
1972-04-01,3330.01644380355
1972-01-01,3271.51780289367
1971-10-01,2770.08709629896
1971-07-01,2750.71035562827
1971-04-01,2742.87175542668
1971-01-01,2744.00632426611
1970-10-01,2301.93456622891
1970-07-01,2305.04605584474
1970-04-01,2305.10304644578
1970-01-01,2286.26264936824
1969-10-01,2080.04363747802
1969-07-01,2085.4886355726
1969-04-01,2079.08631613506
1969-01-01,2113.18558664169
1968-10-01,1901.15458139338
1968-07-01,1875.29026522236
1968-04-01,1919.28493418188
1968-01-01,1913.30588077907
1967-10-01,2235.0957625152
1967-07-01,2239.11900439641
1967-04-01,2185.0622648882
1967-01-01,2194.47328200625
1966-10-01,2217.62774378128
1966-07-01,2214.30562877661
1966-04-01,2225.21644117911
1966-01-01,2221.71197515511
1965-10-01,2203.18986012166
1965-07-01,2180.14929853898
1965-04-01,2183.55537261683
1965-01-01,2196.36877120202
1964-10-01,2878.02992523926
1964-07-01,2824.6579256132
1964-04-01,2800.30842234418
1964-01-01,2817.68743562248
1963-10-01,2677.97747263866
1963-07-01,2614.71387308829
1963-04-01,2652.00268422292
1963-01-01,2660.33334644003
1962-10-01,2467.59559293837
1962-07-01,2504.92081873959
1962-04-01,2467.83878768182
1962-01-01,2474.86797145505
1961-10-01,2392.59307225281
1961-07-01,2366.74771582365
1961-04-01,2332.51442862067
1961-01-01,2396.00174004562
1960-10-01,2360.95413659071
1960-07-01,2327.75992034636
1960-04-01,2354.32200359425
1960-01-01,2319.25904722917
