observation_date,NAEXKP03AUQ189S
1960-01-01,11198000000.000000
1960-04-01,10639000000.000000
1960-07-01,10816000000.000000
1960-10-01,11376000000.000000
1961-01-01,11529000000.000000
1961-04-01,11520000000.000000
1961-07-01,11899000000.000000
1961-10-01,11655000000.000000
1962-01-01,11781000000.000000
1962-04-01,11655000000.000000
1962-07-01,11762000000.000000
1962-10-01,12067000000.000000
1963-01-01,12498000000.000000
1963-04-01,12583000000.000000
1963-07-01,12221000000.000000
1963-10-01,12502000000.000000
1964-01-01,12848000000.000000
1964-04-01,12859000000.000000
1964-07-01,13133000000.000000
1964-10-01,13657000000.000000
1965-01-01,14079000000.000000
1965-04-01,14154000000.000000
1965-07-01,15041000000.000000
1965-10-01,15268000000.000000
1966-01-01,15058000000.000000
1966-04-01,15180000000.000000
1966-07-01,15679000000.000000
1966-10-01,15811000000.000000
1967-01-01,16164000000.000002
1967-04-01,16129000000.000002
1967-07-01,16635000000.000002
1967-10-01,17148000000.000000
1968-01-01,18049000000.000000
1968-04-01,17792000000.000000
1968-07-01,17543000000.000000
1968-10-01,17927000000.000000
1969-01-01,17995000000.000000
1969-04-01,18388000000.000000
1969-07-01,18964000000.000000
1969-10-01,19560000000.000000
1970-01-01,19094000000.000000
1970-04-01,19669000000.000000
1970-07-01,20189000000.000000
1970-10-01,20490000000.000000
1971-01-01,20451000000.000000
1971-04-01,20175000000.000000
1971-07-01,21137000000.000000
1971-10-01,20901000000.000000
1972-01-01,21487000000.000000
1972-04-01,21264000000.000000
1972-07-01,21473000000.000000
1972-10-01,21494000000.000000
1973-01-01,22280000000.000000
1973-04-01,22244000000.000000
1973-07-01,22618000000.000000
1973-10-01,21849000000.000000
1974-01-01,22727000000.000000
1974-04-01,22503000000.000000
1974-07-01,23548000000.000000
1974-10-01,24184000000.000000
1975-01-01,24644000000.000000
1975-04-01,25294000000.000000
1975-07-01,26266000000.000000
1975-10-01,25953000000.000000
1976-01-01,26923000000.000000
1976-04-01,26564000000.000000
1976-07-01,26634000000.000000
1976-10-01,26244000000.000000
1977-01-01,27013000000.000000
1977-04-01,26492000000.000000
1977-07-01,26996000000.000000
1977-10-01,26952000000.000000
1978-01-01,27949000000.000000
1978-04-01,27657000000.000000
1978-07-01,28534000000.000000
1978-10-01,28430000000.000000
1979-01-01,28271000000.000000
1979-04-01,27944000000.000000
1979-07-01,28407000000.000000
1979-10-01,29038000000.000000
1980-01-01,28659000000.000000
1980-04-01,29629000000.000000
1980-07-01,29070000000.000000
1980-10-01,30848000000.000000
1981-01-01,30292000000.000000
1981-04-01,30782000000.000000
1981-07-01,31616000000.000000
1981-10-01,30223000000.000000
1982-01-01,29383000000.000000
1982-04-01,31588000000.000000
1982-07-01,30154000000.000000
1982-10-01,31367000000.000000
1983-01-01,32247999999.999996
1983-04-01,32165000000.000000
1983-07-01,32211000000.000000
1983-10-01,32779000000.000004
1984-01-01,33305999999.999996
1984-04-01,33506000000.000000
1984-07-01,35780000000.000000
1984-10-01,34645000000.000000
1985-01-01,36314000000.000000
1985-04-01,36707000000.000000
1985-07-01,36643000000.000000
1985-10-01,37139000000.000000
1986-01-01,37460000000.000000
1986-04-01,38436000000.000000
1986-07-01,39050000000.000000
1986-10-01,38397000000.000000
1987-01-01,38371000000.000000
1987-04-01,38931000000.000000
1987-07-01,39295000000.000000
1987-10-01,40283000000.000000
1988-01-01,40772000000.000000
1988-04-01,40222000000.000000
1988-07-01,40814000000.000000
1988-10-01,40319000000.000000
1989-01-01,41038000000.000000
1989-04-01,43125000000.000000
1989-07-01,41160000000.000000
1989-10-01,41824000000.000000
1990-01-01,42816000000.000000
1990-04-01,43875000000.000000
1990-07-01,42890000000.000000
1990-10-01,43299000000.000000
1991-01-01,44592000000.000000
1991-04-01,44326000000.000000
1991-07-01,46075000000.000000
1991-10-01,45019000000.000000
1992-01-01,44044000000.000000
1992-04-01,44433000000.000000
1992-07-01,46015000000.000000
1992-10-01,46380000000.000000
1993-01-01,45786000000.000000
1993-04-01,45957000000.000000
1993-07-01,46056000000.000000
1993-10-01,46502000000.000000
1994-01-01,47001000000.000000
1994-04-01,46581000000.000000
1994-07-01,47804000000.000000
1994-10-01,47947000000.000000
1995-01-01,48289000000.000000
1995-04-01,50121000000.000000
1995-07-01,49187000000.000000
1995-10-01,50641000000.000000
1996-01-01,51619000000.000000
1996-04-01,50917000000.000000
1996-07-01,51500000000.000000
1996-10-01,50988000000.000000
1997-01-01,51727000000.000000
1997-04-01,52413000000.000000
1997-07-01,53677000000.000000
1997-10-01,53947000000.000000
1998-01-01,53194000000.000000
1998-04-01,54171000000.000000
1998-07-01,55494000000.000000
1998-10-01,56263000000.000000
1999-01-01,56404000000.000000
1999-04-01,57320000000.000000
1999-07-01,56823000000.000000
1999-10-01,57704000000.000000
2000-01-01,59175000000.000000
2000-04-01,59044000000.000000
2000-07-01,58801000000.000000
2000-10-01,58726000000.000000
2001-01-01,59187000000.000000
2001-04-01,60404000000.000000
2001-07-01,60753000000.000000
2001-10-01,61002000000.000000
2002-01-01,61294000000.000000
2002-04-01,61959000000.000000
2002-07-01,62070000000.000000
2002-10-01,62277000000.000000
2003-01-01,63611000000.000000
2003-04-01,63841000000.000000
2003-07-01,64822999999.999992
2003-10-01,65507000000.000008
2004-01-01,65611000000.000008
2004-04-01,67180000000.000008
2004-07-01,67095000000.000000
2004-10-01,67422000000.000000
2005-01-01,67808000000.000008
2005-04-01,68828000000.000000
2005-07-01,68498000000.000008
2005-10-01,69972000000.000000
2006-01-01,70031000000.000000
2006-04-01,71167000000.000000
2006-07-01,71496000000.000000
2006-10-01,72036000000.000000
2007-01-01,72527000000.000000
2007-04-01,72220000000.000000
2007-07-01,73175000000.000000
2007-10-01,73993000000.000000
2008-01-01,74892000000.000000
2008-04-01,75116000000.000000
2008-07-01,76361000000.000000
2008-10-01,77477000000.000000
2009-01-01,77490000000.000000
2009-04-01,78157000000.000000
2009-07-01,77927000000.000000
2009-10-01,77987000000.000000
2010-01-01,78821000000.000000
2010-04-01,79850000000.000000
2010-07-01,79480000000.000000
2010-10-01,80494000000.000000
2011-01-01,81779000000.000000
2011-04-01,82650000000.000000
2011-07-01,83434000000.000000
2011-10-01,83943000000.000000
2012-01-01,84255000000.000000
2012-04-01,85106000000.000000
2012-07-01,84108000000.000000
2012-10-01,84081000000.000000
2013-01-01,85152000000.000000
2013-04-01,85324000000.000000
2013-07-01,85853000000.000000
2013-10-01,86832000000.000000
2014-01-01,85792000000.000000
2014-04-01,85775000000.000000
2014-07-01,86688000000.000000
2014-10-01,87200000000.000000
2015-01-01,88578000000.000000
2015-04-01,89374000000.000000
2015-07-01,90471000000.000000
2015-10-01,91278000000.000000
2016-01-01,92642000000.000000
2016-04-01,94339000000.000000
2016-07-01,95871000000.000000
2016-10-01,95616000000.000000
2017-01-01,97112000000.000000
2017-04-01,98210000000.000000
2017-07-01,98142000000.000000
2017-10-01,99828000000.000000
2018-01-01,101156000000.000000
2018-04-01,101380000000.000000
2018-07-01,102368000000.000000
2018-10-01,104153000000.000000
2019-01-01,105310000000.000000
2019-04-01,108794000000.000000
2019-07-01,109851000000.000000
2019-10-01,111589000000.000000
2020-01-01,114135000000.000000
2020-04-01,116084000000.000000
2020-07-01,118819000000.000000
2020-10-01,120156000000.000000
2021-01-01,120320000000.000000
2021-04-01,121970000000.000000
2021-07-01,125967000000.000000
2021-10-01,127553000000.000000
2022-01-01,130687000000.000015
2022-04-01,129550000000.000015
2022-07-01,129470000000.000000
2022-10-01,130683000000.000000
2023-01-01,130526999999.999985
2023-04-01,131366000000.000015
2023-07-01,132842999999.999985
